Qty,Reference(s),Value,DPN
1,BT1,~,36-2462-ND
25,"C1, C3, C5, C7, C10, C11, C18, C20, C26, C30, C34, C45, C50, C51, C66, C70, C75, C87, C88, C89, C90, C91, C128, C129, C130",1u,399-C0603C105K3RAC7867CT-ND
21,"C2, C23, C28, C31, C37, C38, C39, C40, C41, C47, C48, C52, C54, C55, C56, C57, C71, C74, C77, C78, C80",0.001u,399-C0603C102K3RAC7867CT-ND
8,"C4, C6, C27, C33, C36, C44, C65, C72",0.01u,399-C0603C103K3RAC7867CT-ND
6,"C8, C12, C21, C59, C61, C63",10u,399-C1206C106K4PAC7800CT-ND
66,"C9, C13, C14, C22, C24, C25, C29, C32, C35, C42, C43, C46, C49, C53, C58, C60, C62, C64, C68, C69, C73, C76, C79, C81, C82, C83, C84, C85, C86, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C131",0.1u,399-C0603C104K3RAC7867CT-ND
1,C15,0.022u 630v,399-13296-1-ND
8,"C16, C19, C132, C133, C134, C135, C136, C137",4.7u,399-C1206C475K5PAC7800CT-ND
1,C17,100u 20v,1572-1659-ND
1,C67,100u 400V,1572-1041-ND
13,"D1, D2, D4, D6, D13, D14, D15, D16, D7, D8, D17, D18, D20",Yel,754-2039-1-ND
2,"D3, D19",BAV99,1655-BAV99CT-ND
1,D5,MMBD3004SE,GSD2004S-E3-08CT-ND
2,"D9, D10",â€ŽSTPSC10065G2,497-STPSC10065G2-TRCT-ND
2,"D11, D12",ES1J,1655-ES1JCT-ND
11,"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8, FB9, FB10, FB11",Ferrite,490-5254-1-ND
4,"J1, J2, J4, J6",Conn_02x05_Odd_Even,732-2672-ND
1,J3,Conn_01x03,732-5316-ND
2,"J5, J8",HDMI_D_1.4,609-4614-1-ND
6,"J7, J9, J10, J11, J12, J13",Screw_Terminal_01x02,281-2888-ND
1,L2,390uH 5A,M8893-ND
1,LS1,Speaker,668-1068-1-ND
1,Q1,STR2P3LLH6(Pfet),497-15520-1-ND
4,"Q2, Q5, Q7, Q8",2N3904,4530-MMBT3904CT-ND
1,Q3,2N3906,4878-MMBT3906CT-ND
2,"Q4, Q6",IPD60R145,448-IPD60R145CFD7ATMA1CT-ND
12,"R1, R6, R7, R10, R11, R71, R72, R75, R76, R77, R95, R98",10K,P10.0KHCT-ND
3,"R2, R23, R32",100K,P100KHCT-ND
1,R3,3K3 25W,118-PWR263S-20-3301F-ND
14,"R4, R13, R14, R15, R24, R31, R49, R51, R99, R100, R101, R103, R104, R110",0R,P0.0GCT-ND
17,"R5, R9, R73, R78, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R108, R109, R111",1K,P1.00KHCT-ND
1,R8,2K,P2.00KHCT-ND
21,"R12, R16, R17, R18, R19, R39, R40, R45, R46, R61, R62, R63, R64, R67, R68, R69, R70, R74, R105, R106, R107",22R,P22.0HCT-ND
4,"R20, R21, R80, R81",1.99M,541-MCT0603MD2004BP500CT-ND
5,"R22, R25, R26, R33, R34",10R,P10.0HCT-ND
4,"R27, R30, R52, R79",47K,P47KGCT-ND
6,"R28, R47, R48, R65, R66, R82",10.01K,10-ERA-3VRW1002VCT-ND
1,R29,51.1K,P51.1KDBCT-ND
8,"R35, R36, R41, R42, R53, R54, R55, R56",1.50K,P1.5KDBCT-ND
8,"R37, R38, R43, R44, R57, R58, R59, R60",3.01K,P3.01KDBCT-ND
2,"R50, R102",0.005R 1W,541-3275-1-ND
4,"SW1, SW3, SW4, SW5",FIRE,360-2595-1-ND
1,SW2,SW_DIP_x03,CT2193LPST-ND
7,"TP1, TP2, TP3, TP4, TP5, TP6, TP7",~,36-1037-ND
1,TR1,PA0367A,553-1978-1-ND
1,U1,LT3420,LT3420EMS#PBF-ND
1,U2,MAX10M04,544-3054-ND
2,"U3, U17",AD7352,505-AD7352BRUZ-ND
2,"U4, U23",TLV74325,296-48989-1-ND
1,U5,LMO78_03,3182-LMO78_03-1.0-ND
1,U6,4945,2183-4945-ND
4,"U7, U12, U15, U16",LTC6362,505-LTC6362CMS8#PBF-ND
2,"U8, U10",AMC3330,296-AMC3330QDWERQ1CT-ND
2,"U9, U14",AMC3302,296-AMC3302DWERCT-ND
2,"U11, U13",TLV9062xD,296-TLV9062IDDFRCT-ND
1,U18,IR2127,IR2127SPBFCT-ND
1,U19,S80KS2563GABHV020,448-S80KS2563GABHV020-ND
1,U20,TLV74318,296-48712-1-ND
1,U21,LM809,LM809M3-2.63/NOPBCT-ND
1,U22,MAX3227,296-19849-1-ND
1,X1,ASE-48MHz,535-9328-1-ND
